bucket_id,name,owner,metadata,created_at,updated_at
catalog,products/Y0hWDegBTOjW2lXuQL6zZT.Image.015030.jpg,null,"{""eTag"":""\""50c7ff2b434ad449e45d56cdf7ced37f-1\"""",""size"":81055,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:14.000Z"",""contentLength"":81055,""httpStatusCode"":200}",2026-03-08 23:19:14.331888+00,2026-03-08 23:19:14.331888+00
catalog,products/x8FMrwhpjc47EzjBYD4kHa.Image.203538.jpg,null,"{""eTag"":""\""dfa69a1b6eb2fce7a8ac586818567b2b-1\"""",""size"":78586,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:14.000Z"",""contentLength"":78586,""httpStatusCode"":200}",2026-03-08 23:19:14.32672+00,2026-03-08 23:19:14.32672+00
catalog,products/YEpvxhmUThvNoCv5E66vUt.Image.202701.jpg,null,"{""eTag"":""\""cda2312b76350786367a08398e48b94f-1\"""",""size"":70320,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:14.000Z"",""contentLength"":70320,""httpStatusCode"":200}",2026-03-08 23:19:14.322156+00,2026-03-08 23:19:14.322156+00
catalog,products/XnELf9WJ7lWqqeGbYVvDfm.Image.024906.jpg,null,"{""eTag"":""\""36647cce633d80b6df18ed7ff601d40d-1\"""",""size"":92381,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:14.000Z"",""contentLength"":92381,""httpStatusCode"":200}",2026-03-08 23:19:14.312857+00,2026-03-08 23:19:14.312857+00
catalog,products/xvRTBNsZO94sYLjoT4-Jg7.Image.184553.png,null,"{""eTag"":""\""323d72104f46e73e4ff8b349b14a411f-1\"""",""size"":29994,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:14.000Z"",""contentLength"":29994,""httpStatusCode"":200}",2026-03-08 23:19:14.295108+00,2026-03-08 23:19:14.295108+00
catalog,products/wprr6xJDswUM1zKf9l5bAc.Image.014920.jpg,null,"{""eTag"":""\""7c01278bc9aa181e4d1113ffc319c920-1\"""",""size"":81844,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:14.000Z"",""contentLength"":81844,""httpStatusCode"":200}",2026-03-08 23:19:13.599847+00,2026-03-08 23:19:13.599847+00
catalog,products/WdtKNdlALsCJOmd6QTr7hN.Image.021812.jpg,null,"{""eTag"":""\""4b49e0dd10b64785a26e73a5d907457e-1\"""",""size"":113923,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:14.000Z"",""contentLength"":113923,""httpStatusCode"":200}",2026-03-08 23:19:13.549858+00,2026-03-08 23:19:13.549858+00
catalog,products/Whm9KBcp3Ddqb4ZdBA9iBL.Image.014426.jpg,null,"{""eTag"":""\""fed3bf10f8df0a8d03f5c03a5209f88c-1\"""",""size"":95510,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:14.000Z"",""contentLength"":95510,""httpStatusCode"":200}",2026-03-08 23:19:13.543075+00,2026-03-08 23:19:13.543075+00
catalog,products/wNC82xlPSf43e6oT0veOl5.Image.170649.jpg,null,"{""eTag"":""\""023512fd89e4d8b3a777251aa42bb9fc-1\"""",""size"":122797,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:14.000Z"",""contentLength"":122797,""httpStatusCode"":200}",2026-03-08 23:19:13.515578+00,2026-03-08 23:19:13.515578+00
catalog,products/W47T9ZMBgl4tyd0SZtoCv2.Image.233116.jpg,null,"{""eTag"":""\""9daf9f0523532c73b2445afbfb6d3af0-1\"""",""size"":121406,""mimetype"":""image/jpeg"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-03-08T23:19:14.000Z"",""contentLength"":121406,""httpStatusCode"":200}",2026-03-08 23:19:13.513493+00,2026-03-08 23:19:13.513493+00
